wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4239.04121496
1000.0        4239.04121496
1500.0        4239.04121496
2000.0        4239.04121496
2500.0        4239.04121496
3000.0        4239.04121496
3500.0        4239.04121496
4000.0        4239.04121496
4500.0        4239.04121496
5000.0        4239.04121496
5500.0        4239.04121496
6000.0        4239.04121496
6500.0        4913.22869821
7000.0        5551.39927015
7500.0        5830.85856212
8000.0        6578.52187567
8500.0        7555.5753647
9000.0        8306.97601583
9500.0        8815.22270638
10000.0        9739.98662834
10500.0        10462.6463018
11000.0        11194.2457572
11500.0        11527.6705961
12000.0        11784.748131
12500.0        11911.875785
13000.0        11937.2268247
13500.0        12173.8991517
14000.0        12173.8991517
14500.0        12173.8991517
15000.0        12173.8991517
15500.0        12173.8991517
16000.0        12173.8991517
16500.0        12173.8991517
17000.0        12173.8991517
17500.0        12173.8991517
18000.0        12173.8991517
18500.0        12173.8991517
19000.0        12173.8991517
19500.0        12173.8991517
20000.0        12173.8991517
