wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1167.84247484
1000.0        1167.84247484
1500.0        1167.84247484
2000.0        1311.12146736
2500.0        1542.07743131
3000.0        2222.72030575
3500.0        2797.2800924
4000.0        3364.21352411
4500.0        4577.70476955
5000.0        5303.02759967
5500.0        6241.91175655
6000.0        7003.84268746
6500.0        7480.40681414
7000.0        7938.71765066
7500.0        8054.74242345
8000.0        8054.74242345
8500.0        8054.74242345
9000.0        8054.74242345
9500.0        8054.74242345
10000.0        8054.74242345
10500.0        8054.74242345
11000.0        8054.74242345
11500.0        8054.74242345
12000.0        8054.74242345
12500.0        8054.74242345
13000.0        8054.74242345
13500.0        8054.74242345
14000.0        8054.74242345
14500.0        8054.74242345
15000.0        8054.74242345
15500.0        8054.74242345
16000.0        8054.74242345
16500.0        8054.74242345
17000.0        8054.74242345
17500.0        8054.74242345
18000.0        8054.74242345
18500.0        8054.74242345
19000.0        8054.74242345
19500.0        8054.74242345
20000.0        8054.74242345
