wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1602.02215203
1000.0        1602.02215203
1500.0        1602.02215203
2000.0        1602.02215203
2500.0        1616.87052247
3000.0        1865.22214959
3500.0        2489.5622591
4000.0        3212.89019749
4500.0        4407.00372916
5000.0        5286.53903827
5500.0        5934.96974266
6000.0        6987.82414274
6500.0        7494.68846052
7000.0        7926.28838484
7500.0        8015.76861726
8000.0        8015.76861726
8500.0        8015.76861726
9000.0        8015.76861726
9500.0        8015.76861726
10000.0        8015.76861726
10500.0        8015.76861726
11000.0        8015.76861726
11500.0        8015.76861726
12000.0        8015.76861726
12500.0        8015.76861726
13000.0        8015.76861726
13500.0        8015.76861726
14000.0        8015.76861726
14500.0        8015.76861726
15000.0        8015.76861726
15500.0        8015.76861726
16000.0        8015.76861726
16500.0        8015.76861726
17000.0        8015.76861726
17500.0        8015.76861726
18000.0        8015.76861726
18500.0        8015.76861726
19000.0        8015.76861726
19500.0        8015.76861726
20000.0        8015.76861726
