wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4404.96985513
1000.0        4404.96985513
1500.0        4404.96985513
2000.0        4404.96985513
2500.0        4404.96985513
3000.0        4404.96985513
3500.0        4404.96985513
4000.0        4404.96985513
4500.0        4404.96985513
5000.0        4404.96985513
5500.0        4404.96985513
6000.0        4404.96985513
6500.0        4740.5418166
7000.0        5590.69825259
7500.0        5843.45786051
8000.0        6407.47663321
8500.0        7563.003172
9000.0        8283.04533142
9500.0        8799.2173659
10000.0        9722.7734312
10500.0        10459.5317023
11000.0        11173.0991587
11500.0        11523.8399044
12000.0        11784.0321383
12500.0        11914.7815777
13000.0        11941.8230449
13500.0        12173.1697396
14000.0        12173.1697396
14500.0        12173.1697396
15000.0        12173.1697396
15500.0        12173.1697396
16000.0        12173.1697396
16500.0        12173.1697396
17000.0        12173.1697396
17500.0        12173.1697396
18000.0        12173.1697396
18500.0        12173.1697396
19000.0        12173.1697396
19500.0        12173.1697396
20000.0        12173.1697396
