wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1167.84247484
1000.0        1167.84247484
1500.0        1167.84247484
2000.0        1527.7625569
2500.0        1874.71291215
3000.0        2580.27646229
3500.0        3164.32194538
4000.0        3733.20815704
4500.0        4686.42237347
5000.0        5330.67733008
5500.0        6248.94940952
6000.0        7005.23253438
6500.0        7480.71638027
7000.0        7938.76257728
7500.0        8054.74973488
8000.0        8054.74973488
8500.0        8054.74973488
9000.0        8054.74973488
9500.0        8054.74973488
10000.0        8054.74973488
10500.0        8054.74973488
11000.0        8054.74973488
11500.0        8054.74973488
12000.0        8054.74973488
12500.0        8054.74973488
13000.0        8054.74973488
13500.0        8054.74973488
14000.0        8054.74973488
14500.0        8054.74973488
15000.0        8054.74973488
15500.0        8054.74973488
16000.0        8054.74973488
16500.0        8054.74973488
17000.0        8054.74973488
17500.0        8054.74973488
18000.0        8054.74973488
18500.0        8054.74973488
19000.0        8054.74973488
19500.0        8054.74973488
20000.0        8054.74973488
