wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1303.50815517
1000.0        1303.50815517
1500.0        1303.50815517
2000.0        1303.50815517
2500.0        1676.79705658
3000.0        2372.05503005
3500.0        3019.66079981
4000.0        3725.57630749
4500.0        4627.00387573
5000.0        5378.31084463
5500.0        5957.61158384
6000.0        6998.80580362
6500.0        7500.68005996
7000.0        7929.98577632
7500.0        8016.46163108
8000.0        8016.46163108
8500.0        8016.46163108
9000.0        8016.46163108
9500.0        8016.46163108
10000.0        8016.46163108
10500.0        8016.46163108
11000.0        8016.46163108
11500.0        8016.46163108
12000.0        8016.46163108
12500.0        8016.46163108
13000.0        8016.46163108
13500.0        8016.46163108
14000.0        8016.46163108
14500.0        8016.46163108
15000.0        8016.46163108
15500.0        8016.46163108
16000.0        8016.46163108
16500.0        8016.46163108
17000.0        8016.46163108
17500.0        8016.46163108
18000.0        8016.46163108
18500.0        8016.46163108
19000.0        8016.46163108
19500.0        8016.46163108
20000.0        8016.46163108
