wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4201.96238861
1000.0        4201.96238861
1500.0        4201.96238861
2000.0        4201.96238861
2500.0        4201.96238861
3000.0        4201.96238861
3500.0        4201.96238861
4000.0        4201.96238861
4500.0        4201.96238861
5000.0        4201.96238861
5500.0        4281.44700832
6000.0        4763.20874976
6500.0        5407.06931392
7000.0        6008.49523444
7500.0        6651.72745996
8000.0        7299.03965739
8500.0        7696.80784453
9000.0        8360.73732634
9500.0        8865.72154317
10000.0        9726.31047407
10500.0        10461.8615612
11000.0        11169.9468663
11500.0        11501.867315
12000.0        11750.8460067
12500.0        11876.5461483
13000.0        11912.3169732
13500.0        12164.1701216
14000.0        12164.1701216
14500.0        12164.1701216
15000.0        12164.1701216
15500.0        12164.1701216
16000.0        12164.1701216
16500.0        12164.1701216
17000.0        12164.1701216
17500.0        12164.1701216
18000.0        12164.1701216
18500.0        12164.1701216
19000.0        12164.1701216
19500.0        12164.1701216
20000.0        12164.1701216
