wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1254.3776539
1000.0        1254.3776539
1500.0        1254.3776539
2000.0        1254.3776539
2500.0        1640.63738238
3000.0        2153.7230741
3500.0        2755.35611986
4000.0        3441.65171579
4500.0        4460.61285954
5000.0        5257.87025323
5500.0        5887.44274958
6000.0        6957.99354278
6500.0        7459.38476451
7000.0        7902.70527753
7500.0        8005.36315262
8000.0        8005.36315262
8500.0        8005.36315262
9000.0        8005.36315262
9500.0        8005.36315262
10000.0        8005.36315262
10500.0        8005.36315262
11000.0        8005.36315262
11500.0        8005.36315262
12000.0        8005.36315262
12500.0        8005.36315262
13000.0        8005.36315262
13500.0        8005.36315262
14000.0        8005.36315262
14500.0        8005.36315262
15000.0        8005.36315262
15500.0        8005.36315262
16000.0        8005.36315262
16500.0        8005.36315262
17000.0        8005.36315262
17500.0        8005.36315262
18000.0        8005.36315262
18500.0        8005.36315262
19000.0        8005.36315262
19500.0        8005.36315262
20000.0        8005.36315262
