wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4264.69868583
1000.0        4264.69868583
1500.0        4264.69868583
2000.0        4264.69868583
2500.0        4264.69868583
3000.0        4264.69868583
3500.0        4264.69868583
4000.0        4264.69868583
4500.0        4264.69868583
5000.0        4264.69868583
5500.0        4317.81018261
6000.0        4326.85875677
6500.0        5230.19585195
7000.0        5777.75368503
7500.0        6286.83514268
8000.0        6850.88153398
8500.0        7623.01213911
9000.0        8308.06117748
9500.0        8812.58421923
10000.0        9730.46897422
10500.0        10452.7051423
11000.0        11184.559424
11500.0        11527.2878057
12000.0        11785.112022
12500.0        11915.4480551
13000.0        11949.7644941
13500.0        12175.2649179
14000.0        12175.2649179
14500.0        12175.2649179
15000.0        12175.2649179
15500.0        12175.2649179
16000.0        12175.2649179
16500.0        12175.2649179
17000.0        12175.2649179
17500.0        12175.2649179
18000.0        12175.2649179
18500.0        12175.2649179
19000.0        12175.2649179
19500.0        12175.2649179
20000.0        12175.2649179
