wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1387.41543947
1000.0        1387.41543947
1500.0        1387.41543947
2000.0        1387.41543947
2500.0        1708.53389862
3000.0        2331.00217964
3500.0        2956.09794305
4000.0        3698.49655915
4500.0        4596.66593469
5000.0        5346.11965458
5500.0        5942.30940734
6000.0        6994.63313518
6500.0        7497.16581522
7000.0        7928.70379345
7500.0        8016.31579057
8000.0        8016.31579057
8500.0        8016.31579057
9000.0        8016.31579057
9500.0        8016.31579057
10000.0        8016.31579057
10500.0        8016.31579057
11000.0        8016.31579057
11500.0        8016.31579057
12000.0        8016.31579057
12500.0        8016.31579057
13000.0        8016.31579057
13500.0        8016.31579057
14000.0        8016.31579057
14500.0        8016.31579057
15000.0        8016.31579057
15500.0        8016.31579057
16000.0        8016.31579057
16500.0        8016.31579057
17000.0        8016.31579057
17500.0        8016.31579057
18000.0        8016.31579057
18500.0        8016.31579057
19000.0        8016.31579057
19500.0        8016.31579057
20000.0        8016.31579057
