wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4313.8151268
1000.0        4313.8151268
1500.0        4313.8151268
2000.0        4313.8151268
2500.0        4313.8151268
3000.0        4313.8151268
3500.0        4313.8151268
4000.0        4313.8151268
4500.0        4313.8151268
5000.0        4313.8151268
5500.0        4327.30338381
6000.0        4327.30338381
6500.0        5222.0361988
7000.0        5770.62858309
7500.0        6274.73180047
8000.0        6850.80154254
8500.0        7668.41280943
9000.0        8329.19686824
9500.0        8809.46687313
10000.0        9726.94754281
10500.0        10449.4848335
11000.0        11189.3039106
11500.0        11528.2660513
12000.0        11787.6921305
12500.0        11915.3382725
13000.0        11943.5253484
13500.0        12175.7652704
14000.0        12175.7652704
14500.0        12175.7652704
15000.0        12175.7652704
15500.0        12175.7652704
16000.0        12175.7652704
16500.0        12175.7652704
17000.0        12175.7652704
17500.0        12175.7652704
18000.0        12175.7652704
18500.0        12175.7652704
19000.0        12175.7652704
19500.0        12175.7652704
20000.0        12175.7652704
