wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4283.84843588
1000.0        4283.84843588
1500.0        4283.84843588
2000.0        4283.84843588
2500.0        4283.84843588
3000.0        4283.84843588
3500.0        4283.84843588
4000.0        4283.84843588
4500.0        4283.84843588
5000.0        4283.84843588
5500.0        4315.23630773
6000.0        4315.23630773
6500.0        5222.87480939
7000.0        5776.92358817
7500.0        6292.4061155
8000.0        6856.84275991
8500.0        7665.54934815
9000.0        8326.59856844
9500.0        8807.21482099
10000.0        9727.03939759
10500.0        10452.9454012
11000.0        11186.4283497
11500.0        11528.172392
12000.0        11786.6448122
12500.0        11914.6407171
13000.0        11941.3830876
13500.0        12173.0085521
14000.0        12173.0085521
14500.0        12173.0085521
15000.0        12173.0085521
15500.0        12173.0085521
16000.0        12173.0085521
16500.0        12173.0085521
17000.0        12173.0085521
17500.0        12173.0085521
18000.0        12173.0085521
18500.0        12173.0085521
19000.0        12173.0085521
19500.0        12173.0085521
20000.0        12173.0085521
